"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 19:37:17 CST 2022","Wed Mar 09 19:37:17 CST 2022","11","testCases.api_login","test_api_login","TestApiLogin","","","test_get_department_list[caseinfo2]",""
"passed","Wed Mar 09 19:37:17 CST 2022","Wed Mar 09 19:37:17 CST 2022","8","testCases.api_login","test_api_login","TestApiLogin","","","test_get_department_list[caseinfo1]",""
"passed","Wed Mar 09 19:37:17 CST 2022","Wed Mar 09 19:37:17 CST 2022","21","testCases.api_login","test_api_login","TestApiLogin","","","test_get_department_list[caseinfo0]",""
